CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
392,,,base,interview,2021-02-13 19:47:48,22,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,MA,BSP,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,43.0,14.0,NMS,2,Dezember 2020,2.0,3.0,trifft gar nicht zu,trifft voll zu,trifft voll zu,3,9,0,7,7,4,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,3.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft eher nicht zu,teils/teils,teils/teils,trifft eher nicht zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,weniger flexibel einteilen,,weniger gelernt,weniger intensiv auseinandergesetzt,"Unterschiedliches gelernt, nämlich:","Ich war viel zu wenig in der Schule, um die Gegebenheiten kennenzulernen bzw. zu unterrichten. In meinem Fach gab es keinen online Unterricht (BSp), ich habe gelernt, wie man alternativ Inhalte macht, nur um das Praktikum abzuschließen - diese waren nicht per se schlecht, aber eben nicht das, was man im Praktikum machen sollte...",keine Änderung,kleiner,gleich,keine Änderung,"Schön, dass die Standortwünsche bestmöglich berücksichtigt werden. Ebenso ist es toll, die BWG Begleit LV selbständig einschreiben zu lassen.",3.0,2.0,2.0,2.0,trifft voll zu,3.0,trifft gar nicht zu,3.0,2.0,2.0,3.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,2.0,2.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,sehr häufig,5.0,nie,nie,nie,nie,3.0,2.0,nie,nie,2.0,nie,nie,nie,nie,nie,2.0,nie,4.0,nie,nie,nie,2.0,nie,2.0,nie,nie,nie,nie,nie,2.0,3.0,nie,5.0,4.0,nie,nie,nie,nie,nie,4.0,nie,3.0,nie,sehr häufig,2.0,nie,nie,nie,nie,nie,5.0,nie,2.0,sehr häufig,nie,2.0,nie,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,sehr häufig,5.0,5.0,5.0,sehr häufig,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft eher zu,trifft zu,trifft eher zu,trifft nicht zu,"Die vielen nicht so guten Bewertungen/Erfahrungen bei mir stammen wahrscheinlich davon, dass ich das Praktikum in BSp absolviert habe. Leider war kein Distance-Learning vorhanden, der Kontakt zu den SuS bestand in den ersten Wochen wo es erlaubt war in die Schule zu kommen, ansonsten hatte ich keinen Kontakt zu den SuS. Es ist in Fächern wie BSp nicht einfach bzw. war es in meinem Fall unmöglich, online etwas zu machen, v.a. in einer 'Brennpunktschule' so wie jener in der ich war.","Für Personen, die wie ich die Praxis im Fach BSp gemacht haben, war der Fragebogen oft nicht passend.",MTL28B,4.0,20.0,34.0,,86.0,60.0,189.0,102.0,393.0,170.0,138.0,37.0,50.0,67.0,78.0,58.0,309.0,,,202.0,77.0,1331.0,,2021-02-13 20:22:22,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,5.0
394,,,base,interview,2021-02-13 21:50:12,,männlich,mit meinem*meiner Parnter*in.,3,während des ganzen Semesters erwerbstätig.,34,äußerst wichtig,äußerst wichtig,,,,,3,nein,2.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,,,NMS,1,Dezember 2020,trifft voll zu,trifft voll zu,2.0,trifft voll zu,trifft voll zu,,,,,,,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,26.0,37.0,,62.0,47.0,78.0,93.0,28.0,,,,,,,,,,,,,374.0,,2021-02-13 21:56:26,abgebrochen,Teilnehmer,9.0,9.0,29.0,22.0,,18.0
395,,,base,interview,2021-02-13 21:59:05,,,,,,,äußerst wichtig,äußerst wichtig,,,,,3,,2.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,,,,,,,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,flexibler einteilen,besser vereinbaren,mehr gelernt,intensiver auseinandergesetzt,,,aktiver eingebracht,größer,besser,erleichtert,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,,,VEB11G,7.0,5.0,35.0,,6.0,18.0,25.0,30.0,23.0,50.0,50.0,56.0,51.0,,,,,42.0,49.0,89.0,102.0,578.0,,2021-02-13 22:09:43,ausgefüllt,Teilnehmer,22.0,22.0,16.0,13.0,,70.0
400,,,base,interview,2021-02-14 17:37:09,18,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,10,6.0,äußerst wichtig,,,GS,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,14.0,NMS,4,November 2020,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,22,01,4,0,0,0,2.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,3.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,teils/teils,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,,,,,,,,,,.,trifft voll zu,2.0,trifft voll zu,trifft voll zu,trifft voll zu,2.0,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,4.0,3.0,sehr häufig,5.0,trifft voll zu,trifft voll zu,4.0,3.0,trifft voll zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,teils/teils,trifft eher zu,.,.,BSS27G,8.0,47.0,51.0,,34.0,23.0,183.0,58.0,79.0,,,86.0,,,,,,,,82.0,49.0,700.0,,2021-02-14 17:48:50,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,5.0
402,,,base,interview,2021-02-14 18:04:44,,männlich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,3,äußerst wichtig,äußerst wichtig,,,GW,EN,7,nein,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ja,,,,,200.0,75.0,AHS,3,Dezember 2020,3.0,2.0,3.0,2.0,3.0,21,222,3,4,,,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,13.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,,,,intensiver auseinandergesetzt,Ähnliches gelernt,,,größer,,erschwert,,trifft gar nicht zu,3.0,trifft gar nicht zu,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,teils/teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,,,GGP24B,4.0,15.0,25.0,,36.0,8.0,57.0,22.0,7.0,36.0,12.0,8.0,9.0,12.0,12.0,10.0,27.0,,,15.0,45.0,360.0,,2021-02-14 18:10:44,ausgefüllt,Teilnehmer,22.0,22.0,8.0,4.0,,153.0
403,,,base,interview,2021-02-14 18:41:07,21,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,12,6.0,äußerst wichtig,,,GS,EN,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,52.0,23.0,"BMHS (z. B. HTL, HAK, ...)",2,Jänner 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,55.0,79.0,,111.0,6.0,,,,,,,,,,,,,,,,254.0,,2021-02-14 18:45:21,abgebrochen,Teilnehmer,6.0,6.0,10.0,1.0,,50.0
410,,,base,interview,2021-02-14 20:19:58,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,äußerst wichtig,,,EN,BU,5,nein,2.0,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,30.0,NMS,1,Jänner 2021,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3,26,0,4,0,17,10.0,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,12.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,,trifft zu,trifft zu,flexibler einteilen,,keine Änderung,intensiver auseinandergesetzt,Ähnliches gelernt,,keine Änderung,größer,gleich,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,sehr häufig,4.0,5.0,4.0,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,nie,3.0,nie,nie,nie,5.0,trifft gar nicht zu,4.0,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,4.0,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,,,ijl3b,4.0,20.0,34.0,,45.0,18.0,71.0,133.0,54.0,94.0,22.0,46.0,70.0,,,,,5.0,47.0,50.0,29.0,742.0,,2021-02-14 20:32:20,ausgefüllt,Teilnehmer,22.0,22.0,21.0,18.0,,48.0
413,,,base,interview,2021-02-14 23:41:12,21,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,Sonstiges,PuP,EH,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,6.0,NMS,3,Jänner 2021,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,1, 1991Z,0,0,0,755,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,trifft zu,trifft zu,teils/teils,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,,,,,,,,,,,,trifft voll zu,2.0,trifft voll zu,2.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,trifft gar nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,teils/teils,teils/teils,trifft eher nicht zu,trifft eher zu,trifft zu,trifft zu,trifft nicht zu,teils/teils,trifft zu,trifft nicht zu,teils/teils,teils/teils,teils/teils,trifft eher zu,trifft zu,trifft eher zu,trifft nicht zu,teils/teils,,,YDD26B,3.0,27.0,44.0,,43.0,27.0,114.0,42.0,95.0,,,105.0,,,,,,,,90.0,58.0,648.0,,2021-02-14 23:52:00,ausgefüllt,Teilnehmer,22.0,22.0,5.0,1.0,,8.0
420,,,base,interview,2021-02-15 18:42:09,24,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,10,5.0,äußerst wichtig,,,MA,GS,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,63.0,14.0,"BMHS (z. B. HTL, HAK, ...)",2,Jänner 2021,2.0,3.0,2.0,3.0,3.0,2,5,7,5,3,17,5.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,teils/teils,teils/teils,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft zu,flexibler einteilen,,keine Änderung,keine Änderung,"Unterschiedliches gelernt, nämlich:",Distance Learning Aufgaben stellen<br>Arbeitsaufträge beurteilen,keine Änderung,größer,weniger gut,erleichtert,,trifft voll zu,3.0,trifft voll zu,3.0,3.0,2.0,2.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,2.0,2.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,4.0,4.0,nie,nie,nie,4.0,4.0,5.0,3.0,nie,5.0,sehr häufig,3.0,4.0,nie,nie,nie,4.0,2.0,2.0,5.0,5.0,nie,nie,nie,nie,3.0,nie,3.0,nie,sehr häufig,sehr häufig,3.0,sehr häufig,4.0,sehr häufig,nie,nie,nie,nie,4.0,4.0,2.0,nie,sehr häufig,4.0,sehr häufig,2.0,2.0,5.0,3.0,sehr häufig,nie,3.0,sehr häufig,3.0,sehr häufig,3.0,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,sehr häufig,nie,nie,2.0,sehr häufig,3.0,2.0,trifft gar nicht zu,trifft voll zu,4.0,2.0,trifft zu,trifft nicht zu,teils/teils,trifft zu,trifft eher zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft zu,trifft eher nicht zu,trifft zu,teils/teils,trifft zu,trifft eher nicht zu,,,ETB28G,17.0,22.0,48.0,,37.0,30.0,90.0,51.0,35.0,105.0,27.0,26.0,39.0,49.0,62.0,48.0,83.0,,,62.0,18.0,849.0,,2021-02-15 18:56:18,ausgefüllt,Teilnehmer,22.0,22.0,3.0,0.0,,20.0
422,,,base,interview,2021-02-16 08:00:36,24,weiblich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,6,äußerst wichtig,äußerst wichtig,,,PuP,BU,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,20.0,NMS,2,Dezember 2020,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,49.0,48.0,,88.0,38.0,6429.0,,,,,,,,,,,,,,,334.0,,2021-02-16 09:51:33,abgebrochen,Teilnehmer,7.0,7.0,8.0,1.0,,0.0
